[System] Using MQTT for communication
[WiFi] Connecting to F7.
[WiFi] Connected!, IP address: 10.82.143.229
[MQTT] Attempting connection...connected
Starting FFT task...Setup complete.
Starting ADC read task...
Starting Filter task...
Starting Communication task...
1,92,5400877,5451522
0,93,5411856,5463194
[MQTT] Round-trip time: 6.07 ms
3,91,5490710,5496781
2,93,5490718,5502186
1,93,5451877,5502794
0,94,5463275,5514593
[MQTT] Round-trip time: 5.12 ms
3,92,5540746,5545865
2,94,5540755,5556438
1,94,5505681,5557043
0,95,5514671,5565991
[MQTT] Round-trip time: 5.88 ms
3,93,5593325,5599202
2,95,5593322,5606217
1,95,5557877,5606820
0,96,5566072,5617386
[MQTT] Round-trip time: 5.16 ms
3,94,5643694,5648851
2,96,5643703,5654592
1,96,5607877,5655186
0,97,5617468,5668786
[MQTT] Round-trip time: 4.97 ms
3,95,5698676,5703648
2,97,5698693,5709050
1,97,5657596,5709657
0,98,5668866,5720186
[MQTT] Round-trip time: 5.06 ms
3,96,5746223,5751282
2,98,5746219,5758710
1,98,5709877,5759300
0,99,5720268,5771602
[MQTT] Round-trip time: 6.24 ms
3,97,5798084,5804319
2,99,5798081,5809530
1,99,5759877,5810142
0,100,5771683,5822986
[MQTT] Round-trip time: 5.11 ms
3,98,5849133,5854248
2,100,5849129,5861674
1,100,5810877,5862264
0,101,5823068,5874386
[MQTT] Round-trip time: 7.20 ms
3,99,5900507,5907712
2,101,5900504,5913509
1,101,5862877,5915908
0,102,5874464,5925774
[MQTT] Round-trip time: 4.44 ms
3,100,5954974,5959416
2,102,5954983,5966936
1,102,5916877,5967509
0,103,5925852,5977186
[MQTT] Round-trip time: 6.03 ms
3,101,6003397,6009432
2,103,6003393,6014822
1,103,5967877,6015425
0,104,5977265,6028593
[MQTT] Round-trip time: 5.12 ms
3,102,6054663,6059783
2,104,6054671,6065518
1,104,6017512,6066115
0,105,6028671,6079986
[MQTT] Round-trip time: 5.97 ms
3,103,6107570,6113543
2,105,6107579,6120672
1,105,6067217,6121300
0,106,6080064,6131386
[MQTT] Round-trip time: 5.04 ms
3,104,6157602,6162638
2,106,6157611,6168412
1,106,6121877,6168908
0,107,6131465,6182774
[MQTT] Round-trip time: 4.90 ms
3,105,6212442,6217344
2,107,6212450,6222774
1,107,6169877,6223405
0,108,6182856,6234186
[MQTT] Round-trip time: 5.05 ms
3,106,6260391,6265439
2,108,6260387,6271227
1,108,6223877,6273524
0,109,6234268,6285593
[MQTT] Round-trip time: 6.04 ms
3,107,6311791,6317830
2,109,6311800,6323258
1,109,6273877,6323878
0,110,6285671,6336986
[MQTT] Round-trip time: 5.08 ms
3,108,6363330,6368410
2,110,6363327,6374186
1,110,6325928,6374770
0,111,6337065,6388386
[MQTT] Round-trip time: 5.98 ms
3,109,6414486,6420466
2,111,6414483,6425853
1,111,6374877,6426469
0,112,6388469,6439774
[MQTT] Round-trip time: 4.60 ms
3,110,6469373,6473970
2,112,6469381,6482754
1,112,6426877,6483365
0,113,6439856,6491186
[MQTT] Round-trip time: 6.04 ms
3,111,6517431,6523467
2,113,6517427,6530697
1,113,6483877,6531317
0,114,6491265,6542593
[MQTT] Round-trip time: 5.17 ms
3,112,6568694,6573860
2,114,6568703,6579577
1,114,6531877,6580082
0,115,6542671,6593986
[MQTT] Round-trip time: 5.94 ms
3,113,6620192,6626134
2,115,6620189,6633330
1,115,6580877,6633956
0,116,6594069,6645436
[MQTT] Round-trip time: 5.10 ms
3,114,6671573,6676669
2,116,6671575,6682412
1,116,6634877,6682908
0,117,6645515,6696824
[MQTT] Round-trip time: 4.93 ms
3,115,6726099,6731033
2,117,6726108,6738231
1,117,6683877,6738847
0,118,6696907,6748236
[MQTT] Round-trip time: 5.07 ms
3,116,6774574,6779649
2,118,6774570,6787148
1,118,6739877,6787712
0,119,6748315,6799637
[MQTT] Round-trip time: 5.53 ms
3,117,6825681,6831214
2,119,6825690,6837024
1,119,6787877,6837623
0,120,6799715,6851036
[MQTT] Round-trip time: 5.13 ms
3,118,6877049,6882182
2,120,6877045,6888016
1,120,6837877,6890335
0,121,6851118,6902436
[MQTT] Round-trip time: 7.25 ms
3,119,6928677,6935924
2,121,6928686,6943526
